name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Jose Calderon,2014,1,0,24,2.6,74.0,Jump Shot,0,0.0
Jose Calderon,2014,1,0,24,6.2,83.0,Jump Shot,10,9.2
Mo Williams,2014,1,0,24,2.5,75.0,Jump Shot,0,0.9
Damian Lillard,2014,0,0,25,3.3,75.0,Jump Shot,0,1.0
Wesley Matthews,2014,1,0,26,11.3,75.0,Jump Shot,0,1.0
Wesley Matthews,2014,1,0,24,2.8,75.0,Jump Shot,0,0.9
Nicolas Batum,2014,1,0,24,6.9,75.0,Jump Shot,0,0.8
Nicolas Batum,2014,0,0,26,4.4,78.0,Jump Shot,0,0.5
Wesley Matthews,2014,1,0,22,4.4,75.0,Jump Shot,0,0.8
Wesley Matthews,2014,0,0,24,7.0,84.0,Jump Shot,5,4.5
Randy Foye,2014,1,0,24,8.4,83.0,Jump Shot,0,1.1
Randy Foye,2014,1,0,24,4.5,76.0,Jump Shot,0,0.9
Ty Lawson,2014,1,0,22,8.3,76.0,Jump Shot,0,0.9
Randy Foye,2014,1,0,25,2.2,76.0,Jump Shot,0,0.9
Ty Lawson,2014,1,0,23,4.0,76.0,Jump Shot,0,0.8
Patrick Beverley,2014,1,0,25,4.0,75.0,Jump Shot,0,0.7
James Harden,2014,1,0,26,6.6,80.0,Jump Shot,0,1.1
James Harden,2014,0,0,25,5.9,80.0,Jump Shot,0,0.7
James Harden,2014,1,0,26,7.7,80.0,Jump Shot,0,0.7
James Harden,2014,1,0,25,6.0,78.0,Jump Shot,0,0.7
Chandler Parsons,2014,1,0,25,4.4,78.0,Jump Shot,0,0.7
Joe Johnson,2014,1,0,22,20.2,72.0,Jump Shot,0,1.0
Jeremy Lin,2014,1,0,26,6.2,78.0,Jump Shot,0,1.0
Deron Williams,2014,0,0,41,2.5,75.0,Jump Shot,1,2.2
Paul George,2014,1,0,25,7.4,77.0,Jump Shot,1,3.4
Trey Burke,2014,1,0,22,8.5,81.0,Jump Shot,0,0.0
Gerald Henderson,2014,1,0,24,5.7,79.0,Jump Shot,0,2.7
Anthony Tolliver,2014,1,0,24,8.6,79.0,Jump Shot,0,0.7
Chris Johnson,2014,1,0,26,5.2,77.0,Jump Shot,0,1.4
Josh McRoberts,2014,1,0,27,7.3,74.0,Jump Shot,0,1.0
Patrick Beverley,2014,0,0,25,4.9,73.0,Jump Shot,0,0.8
Paul George,2014,0,0,25,4.5,77.0,Jump Shot,0,0.9
Brandon Knight,2014,1,0,24,5.8,75.0,Jump Shot,2,2.4
Kyrie Irving,2014,1,0,26,13.5,73.0,Jump Shot,0,0.0
Iman Shumpert,2014,1,0,24,4.7,75.0,Jump Shot,0,1.0
Iman Shumpert,2014,0,0,25,4.9,85.0,Jump Shot,0,1.0
Pablo Prigioni,2014,1,0,24,6.7,74.0,Jump Shot,0,1.5
Carmelo Anthony,2014,1,0,24,3.3,74.0,Jump Shot,0,0.9
Carmelo Anthony,2014,1,0,25,3.3,81.0,Jump Shot,1,2.2
JR Smith,2014,1,0,24,7.3,75.0,Jump Shot,0,1.9
JR Smith,2014,1,0,23,4.4,75.0,Jump Shot,0,0.8
JR Smith,2014,1,0,24,7.7,75.0,Jump Shot,0,1.2
Carmelo Anthony,2014,1,0,28,3.4,81.0,Jump Shot,10,8.8
James Anderson,2014,0,0,27,7.7,80.0,Jump Shot,0,1.0
James Anderson,2014,0,0,26,5.9,82.0,Jump Shot,1,1.4
James Anderson,2014,1,0,26,5.5,79.0,Jump Shot,0,0.7
Jeff Green,2014,1,0,25,10.5,79.0,Jump Shot,0,1.0
Marvin Williams,2014,1,0,27,8.4,80.0,Jump Shot,0,0.8
Mike Conley,2014,1,0,25,6.8,72.0,Jump Shot,7,5.8
Mike Conley,2014,1,0,24,3.2,72.0,Jump Shot,0,0.0
Mike Conley,2014,1,0,23,9.5,78.0,Jump Shot,0,0.8
Kemba Walker,2014,1,0,24,5.2,73.0,Jump Shot,11,9.4
Gary Neal,2014,1,0,25,14.0,73.0,Jump Shot,0,0.9
Josh McRoberts,2014,0,0,25,5.7,81.0,Jump Shot,0,1.5
Kemba Walker,2014,0,0,50,5.5,73.0,Jump Shot,0,0.8
Danny Green,2014,1,0,24,5.4,79.0,Jump Shot,0,0.8
Danny Green,2014,1,0,23,6.3,77.0,Jump Shot,0,0.7
Manu Ginobili,2014,1,0,22,11.9,74.0,Jump Shot,0,1.0
