name,year,shot_made_flag,isClutch,shot_distance,defender_distance,defender_height,action_type,dribbles,touch_time
Carmelo Anthony,2014,1,0,16,5.5,78.0,Fadeaway Jump Shot,1,3.4
Dirk Nowitzki,2014,0,0,10,4.6,82.0,Fadeaway Jump Shot,3,5.9
Stephen Curry,2014,1,0,17,4.8,75.0,Fadeaway Jump Shot,1,1.2
Vince Carter,2014,0,0,17,4.4,80.0,Fadeaway Jump Shot,1,1.6
Rudy Gay,2014,1,0,11,4.5,80.0,Fadeaway Jump Shot,6,5.3
Kevin Durant,2014,0,0,16,1.2,79.0,Fadeaway Jump Shot,3,4.1
Dwyane Wade,2014,1,0,14,5.4,81.0,Fadeaway Jump Shot,7,6.7
Rodney Stuckey,2014,0,0,16,2.9,75.0,Fadeaway Jump Shot,3,4.8
DeMar DeRozan,2014,1,0,16,2.8,79.0,Fadeaway Jump Shot,2,4.7
Isaiah Thomas,2014,1,0,10,4.3,85.0,Fadeaway Jump Shot,1,1.9
Gordon Hayward,2014,0,0,12,2.9,77.0,Fadeaway Jump Shot,2,4.3
Isaiah Thomas,2014,1,0,20,4.8,80.0,Fadeaway Jump Shot,3,3.4
Paul Pierce,2014,1,0,17,1.9,76.0,Fadeaway Jump Shot,0,0.8
DeMarcus Cousins,2014,1,0,12,3.8,84.0,Fadeaway Jump Shot,1,5.4
Damian Lillard,2014,0,0,20,5.3,75.0,Fadeaway Jump Shot,1,4.8
Evan Turner,2014,0,0,14,2.8,78.0,Fadeaway Jump Shot,1,1.5
Kyrie Irving,2014,0,0,20,5.1,79.0,Fadeaway Jump Shot,17,15.5
Dirk Nowitzki,2014,1,0,12,2.4,77.0,Fadeaway Jump Shot,0,1.2
LaMarcus Aldridge,2014,1,0,15,3.5,84.0,Fadeaway Jump Shot,2,5.0
Kevin Martin,2014,0,0,10,2.8,78.0,Fadeaway Jump Shot,2,1.7
Rudy Gay,2014,1,0,15,2.5,76.0,Fadeaway Jump Shot,3,6.7
JR Smith,2014,1,0,15,7.8,74.0,Fadeaway Jump Shot,4,3.8
Mo Williams,2014,0,0,13,3.3,78.0,Fadeaway Jump Shot,1,2.9
Mo Williams,2014,0,0,12,4.3,72.0,Fadeaway Jump Shot,0,1.0
Kris Humphries,2014,0,0,13,3.9,79.0,Fadeaway Jump Shot,1,2.2
Al Horford,2014,1,0,15,3.1,82.0,Fadeaway Jump Shot,0,0.6
David West,2014,0,0,16,4.4,79.0,Fadeaway Jump Shot,3,4.8
Dirk Nowitzki,2014,1,0,15,3.1,81.0,Fadeaway Jump Shot,0,3.5
LeBron James,2014,0,0,18,4.4,79.0,Fadeaway Jump Shot,7,6.5
Paul Millsap,2014,1,0,10,1.1,83.0,Fadeaway Jump Shot,4,5.4
Caron Butler,2014,0,0,10,1.5,75.0,Fadeaway Jump Shot,1,3.4
Nick Young,2014,1,0,14,2.5,77.0,Fadeaway Jump Shot,2,3.6
Dirk Nowitzki,2014,0,0,13,3.0,81.0,Fadeaway Jump Shot,0,2.9
Carmelo Anthony,2014,0,0,11,3.7,77.0,Fadeaway Jump Shot,1,2.4
Gerald Green,2014,1,0,11,6.4,82.0,Fadeaway Jump Shot,2,6.5
Brandon Jennings,2014,1,0,17,5.0,75.0,Fadeaway Jump Shot,12,10.5
LeBron James,2014,1,0,19,2.9,79.0,Fadeaway Jump Shot,8,8.4
Anderson Varejao,2014,0,0,11,2.6,83.0,Fadeaway Jump Shot,2,2.2
Paul George,2014,0,0,10,5.9,78.0,Fadeaway Jump Shot,0,0.8
Jeff Green,2014,1,0,14,1.8,78.0,Fadeaway Jump Shot,2,2.6
Wilson Chandler,2014,0,0,16,3.4,79.0,Fadeaway Jump Shot,0,0.8
Chris Paul,2014,1,0,16,2.6,75.0,Fadeaway Jump Shot,6,6.0
Kevin Martin,2014,1,0,14,3.9,75.0,Fadeaway Jump Shot,1,2.4
DeMar DeRozan,2014,1,0,17,3.0,78.0,Fadeaway Jump Shot,2,2.2
Paul Pierce,2014,0,0,13,3.8,79.0,Fadeaway Jump Shot,4,3.5
Zach Randolph,2014,0,0,11,3.0,83.0,Fadeaway Jump Shot,2,5.9
Kevin Durant,2014,1,0,12,1.9,78.0,Fadeaway Jump Shot,2,6.5
Carmelo Anthony,2014,0,0,15,3.0,76.0,Fadeaway Jump Shot,1,4.4
David West,2014,0,0,16,3.6,84.0,Fadeaway Jump Shot,0,0.4
Kemba Walker,2014,1,0,14,2.3,75.0,Fadeaway Jump Shot,13,10.5
Dirk Nowitzki,2014,0,0,11,3.7,80.0,Fadeaway Jump Shot,2,2.2
LaMarcus Aldridge,2014,0,0,20,2.3,81.0,Fadeaway Jump Shot,2,5.4
Jarrett Jack,2014,0,0,14,3.3,78.0,Fadeaway Jump Shot,4,2.8
Bradley Beal,2014,1,0,18,3.1,81.0,Fadeaway Jump Shot,2,2.4
Dwyane Wade,2014,0,0,12,2.9,76.0,Fadeaway Jump Shot,5,5.6
Channing Frye,2014,0,0,16,4.2,80.0,Fadeaway Jump Shot,0,2.5
Carmelo Anthony,2014,1,0,19,2.9,81.0,Fadeaway Jump Shot,0,5.5
Joe Johnson,2014,0,0,13,2.1,79.0,Fadeaway Jump Shot,9,8.6
Evan Turner,2014,1,0,12,3.5,80.0,Fadeaway Jump Shot,2,2.3
Ty Lawson,2014,1,0,12,3.3,75.0,Fadeaway Jump Shot,14,10.7
LeBron James,2014,1,0,17,4.4,78.0,Fadeaway Jump Shot,1,6.1
LeBron James,2014,1,0,15,4.3,78.0,Fadeaway Jump Shot,2,7.0
Channing Frye,2014,0,0,10,2.8,78.0,Fadeaway Jump Shot,3,4.5
Kevin Love,2014,1,0,16,3.9,80.0,Fadeaway Jump Shot,1,7.1
Paul Millsap,2014,0,0,13,3.5,83.0,Fadeaway Jump Shot,1,1.5
Carmelo Anthony,2014,0,0,15,5.4,82.0,Fadeaway Jump Shot,0,-0.3
DeMar DeRozan,2014,0,0,15,1.8,78.0,Fadeaway Jump Shot,2,3.7
Kevin Martin,2014,0,0,10,3.3,80.0,Fadeaway Jump Shot,2,1.9
Rudy Gay,2014,1,0,18,3.8,81.0,Fadeaway Jump Shot,8,6.9
Paul Pierce,2014,0,0,10,5.0,81.0,Fadeaway Jump Shot,2,3.6
Gordon Hayward,2014,1,0,15,4.9,78.0,Fadeaway Jump Shot,12,13.8
Jerryd Bayless,2014,1,0,13,3.5,78.0,Fadeaway Jump Shot,0,0.0
Paul Millsap,2014,0,0,14,2.6,82.0,Fadeaway Jump Shot,4,3.7
Joe Johnson,2014,1,0,12,4.0,82.0,Fadeaway Jump Shot,5,5.1
Kevin Durant,2014,0,0,17,1.8,78.0,Fadeaway Jump Shot,2,3.9
Dirk Nowitzki,2014,1,0,10,5.5,80.0,Fadeaway Jump Shot,0,0.5
Kyrie Irving,2014,0,0,17,4.6,81.0,Fadeaway Jump Shot,7,6.0
Harrison Barnes,2014,0,0,10,4.4,79.0,Fadeaway Jump Shot,18,15.0
Paul Millsap,2014,1,0,11,4.3,80.0,Fadeaway Jump Shot,4,5.3
Rudy Gay,2014,0,0,15,2.0,79.0,Fadeaway Jump Shot,3,2.8
Dirk Nowitzki,2014,1,0,11,3.2,80.0,Fadeaway Jump Shot,3,5.3
